onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	11.232999999999999	3_true_negate	0.0	1.975	Fay is taller than Lou	Lou is taller than Ann	Ann is taller than Red	Red is not taller than Fay	Fay_3_true_negate.wav
11.232999999999999	4.712	control	1.0	0.985	n/a	n/a	n/a	n/a	n/a
15.945	11.645999999999999	2_true_affirm	0.0	1.906	Flo is faster than Ken	Ken is faster than Van	Van is faster than Pam	Flo is faster than Van	Flo_2_true_affirm.wav
27.590999999999998	11.446	3_false_negate	1.0	1.797	Dot is older than Emm	Emm is older than Lug	Lug is older than Gil	Dot is not older than Gil 	Dot_3_false_negate.wav
39.037	3.695	control	1.0	0.742	n/a	n/a	n/a	n/a	n/a
42.732	10.890999999999998	2_false_negate	0.0	1.9669999999999999	Gil is older than Cam	Cam is older than Jen	Jen is older than Ebb	Gil is not older than Jen	Gil_2_false_negate.wav
53.62300000000001	11.174000000000001	2_false_affirm	1.0	2.244	Joy is taller than Ken	Ken is taller than Wes	Wes is taller than Lee	Wes is taller than Joy	Joy_2_false_affirm.wav
64.797	10.895	2_true_affirm	1.0	1.9680000000000002	Lin is shorter than May	May is shorter than Roy	Roy is shorter than Jef	Lin is shorter than Roy	Lin_2_true_affirm.wav
75.692	12.475999999999999	2_true_affirm	1.0	2.7289999999999996	Mal is younger than Sol	Sol is younger than Red	Red is younger than Lee	Mal is younger than Red	Mal_2_true_affirm.wav
88.16799999999998	12.852	2_true_affirm	1.0	3.489	Jen is faster than Lou	Lou is faster than Rob	Rob is faster than Fin	Jen is faster than Rob	Jen_2_true_affirm.wav
101.02	11.17	3_true_affirm	1.0	1.867	Kai is bigger than Rey	Rey is bigger than Lon	Lon is bigger than Sal	Kai is bigger than Sal 	Kai_3_true_affirm.wav
112.19	11.626	2_false_negate	0.0	1.89	Mac is older than Flo	Flo is older than Ray	Edd is older than Mac	Mac is not older than Ray	Mac_2_false_negate.wav
123.816	11.186	3_true_affirm	1.0	1.537	Ken is younger than Gil	Gil is younger than Bab	Bab is younger than Ell	Ken is younger than Ell 	Ken_3_true_affirm.wav
135.002	3.946	control	1.0	0.6459999999999999	n/a	n/a	n/a	n/a	n/a
138.94799999999998	15.565	3_false_affirm	1.0	5.944	Ike is shorter than Bob	Bob is shorter than Jon	Jon is shorter than Lex	Lex is shorter than Ike	Ike_3_false_affirm.wav
154.513	4.33	control	1.0	1.087	n/a	n/a	n/a	n/a	n/a
158.843	3.36	control	1.0	0.525	n/a	n/a	n/a	n/a	n/a
162.203	4.2810000000000015	control	1.0	0.672	n/a	n/a	n/a	n/a	n/a
166.484	4.2360000000000015	control	1.0	0.527	n/a	n/a	n/a	n/a	n/a
170.72	11.177999999999999	3_true_affirm	1.0	1.791	Cam is smaller than Ike	Ike is smaller than Bob	Bob is smaller than Doc	Cam is smaller than Doc	Cam_3_true_affirm.wav
181.898	12.523	3_false_affirm	0.0	3.511	Moe is younger than Liz	Liz is younger than Gus	Gus is younger than Ben	Ben is younger than Moe	Moe_3_false_affirm.wav
194.421	11.686	3_true_negate	1.0	2.444	Jep is shorter than Lon	Lon is shorter than Nat	Nat is shorter than Ace 	Ace is not shorter than Jep	Jep_3_true_negate.wav
206.107	3.478	control	1.0	0.557	n/a	n/a	n/a	n/a	n/a
209.585	11.835999999999999	2_true_negate	1.0	2.58	Fil is faster than Luk	Luk is faster than Dan	Dan is faster than Ace	Dan is not faster than Fil	Fil_2_true_negate.wav
221.421	4.373	control	1.0	1.0590000000000002	n/a	n/a	n/a	n/a	n/a
225.794	10.933	3_true_affirm	1.0	2.006	Dre is taller than Kay	Kay is taller than Lug	Lug is taller than Joi	Dre is taller than Joi	Dre_3_true_affirm.wav
236.727	10.867	2_true_affirm	1.0	2.009	Don is slower than Jan	Jan is slower than Val	Val is slower than Mac	Don is slower than Val	Don_2_true_affirm2.wav
