onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	11.301	2_true_affirm	0.0	2.345	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
11.301	14.234	3_true_affirm	0.0	4.915	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
25.535	10.916	3_false_negate	1.0	1.589	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
36.451	11.189	2_false_affirm	1.0	1.482	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
47.64	10.159	3_false_affirm	1.0	1.303	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
57.799	4.61	control	0.0	0.851	n/a	n/a	n/a	n/a	n/a
62.409	10.482	3_true_affirm	0.0	1.552	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
72.891	11.202	3_true_affirm	0.0	1.48	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
84.093	12.005	3_true_negate	1.0	2.302	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
96.098	11.356	3_false_negate	1.0	1.718	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
107.454	4.027	control	0.0	0.735	n/a	n/a	n/a	n/a	n/a
111.481	14.514	2_true_affirm	0.0	5.262	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
125.995	4.146	control	0.0	0.809	n/a	n/a	n/a	n/a	n/a
130.141	10.634	3_true_negate	0.0	1.392	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
140.775	3.544	control	0.0	0.729	n/a	n/a	n/a	n/a	n/a
144.319	6.788	control	0.0	3.18	n/a	n/a	n/a	n/a	n/a
151.107	5.631	control	0.0	1.934	n/a	n/a	n/a	n/a	n/a
156.738	11.278	2_true_affirm	0.0	1.546	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
168.016	11.246	2_true_affirm	0.0	1.506	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
179.262	10.616	2_true_negate	0.0	1.758	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
189.878	3.822	control	0.0	0.522	n/a	n/a	n/a	n/a	n/a
193.7	10.472	3_true_affirm	0.0	1.12	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
204.172	9.798	2_false_affirm	1.0	0.948	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
213.97	4.369	control	0.0	1.453	n/a	n/a	n/a	n/a	n/a
218.339	10.04	2_true_affirm	0.0	1.092	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
228.379	11.003	2_false_negate	0.0	1.746	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
239.382	5.609	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
